iter	Passed	Remaining
865	1483	229
866	1485	227
867	1487	226
868	1488	224
869	1490	222
870	1492	221
871	1493	219
872	1494	217
873	1496	215
874	1497	213
875	1498	212
876	1500	210
877	1502	208
878	1503	206
879	1505	205
880	1506	203
881	1508	201
882	1509	200
883	1510	198
884	1511	196
885	1513	194
886	1514	192
887	1517	191
888	1519	189
889	1521	188
890	1522	186
891	1523	184
892	1525	182
893	1526	181
894	1527	179
895	1529	177
896	1530	175
897	1532	174
898	1534	172
899	1536	170
900	1537	168
901	1538	167
902	1539	165
903	1541	163
904	1542	161
905	1543	160
906	1545	158
907	1547	156
908	1548	155
909	1550	153
910	1551	151
911	1552	149
912	1554	148
913	1555	146
914	1556	144
915	1557	142
916	1558	141
917	1560	139
918	1562	137
919	1563	135
920	1565	134
921	1566	132
922	1567	130
923	1569	129
924	1570	127
925	1571	125
926	1572	123
927	1574	122
928	1575	120
929	1577	118
930	1579	117
931	1580	115
932	1582	113
933	1583	111
934	1584	110
935	1586	108
936	1587	106
937	1588	105
938	1589	103
939	1591	101
940	1593	99
941	1594	98
942	1596	96
943	1597	94
944	1599	93
945	1600	91
946	1601	89
947	1602	87
948	1603	86
949	1605	84
950	1607	82
951	1609	81
952	1611	79
953	1612	77
954	1614	76
955	1615	74
956	1616	72
957	1618	70
958	1619	69
959	1621	67
960	1623	65
961	1624	64
962	1626	62
963	1627	60
964	1628	59
965	1629	57
966	1630	55
967	1632	53
968	1633	52
969	1634	50
970	1636	48
971	1638	47
972	1639	45
973	1641	43
974	1642	42
975	1643	40
976	1644	38
977	1645	37
978	1646	35
979	1648	33
980	1649	31
981	1652	30
982	1654	28
983	1656	26
984	1660	25
985	1667	23
986	1673	22
987	1676	20
988	1681	18
989	1685	17
990	1688	15
991	1692	13
992	1696	11
993	1700	10
994	1704	8
995	1708	6
996	1711	5
997	1713	3
998	1715	1
999	1717	0
